id,1st_name,2nd_name,position,team,prvGWsPtsTrend,web_name,tot_pts,fxtrs_plyd,fxtrs_not_plyd,form,MeanAbsDev(form),StdDev(form),med_pts/fxtr,MedAbsDev(pts/fxtr),avg_pts/fxtr,MeanAbsDev(pts/fxtr),StdDev(pts/fxtr),med_pts/fxtr_plyd,MedAbsDev(pts/fxtr_plyd),avg_pts/fxtr_plyd,MeanAbsDev(pts/fxtr_plyd),StdDev(pts/fxtr_plyd),fplAdv_nxtGWs,xPts(fplAdv),defAdv_nxtGWs,xPts(defAdv),attAdv_nxtGWs,xPts(attAdv),xPts(avgAdv),#OfMatches_nxtGWs,gw17Pts,tot_aPts,tot_aPts-xPts(avgAdv),nxtGWsPtsTrend
514,Jarrod,Bowen,MID,WHU,?,"Bowen (MID, ?)",75,16,0,5.0,3.6,4.0,2.5,0.5,4.6875,2.8984375,3.440907402125201,2.5,0.5,4.6875,2.8984375,3.440907402125201,-1,2.4444444444444446,0,0.0,0,2.5,2.47222222222,1,0,0,0,?
530,Tomáš,Souček,MID,WHU,?,"Souček (MID, ?)",56,15,1,4.8,3.7600000000000002,3.8678159211627436,2.0,1.0,3.5,3.0625,3.5355339059327378,2.0,1.0,3.7333333333333334,3.1111111111111116,3.5301872786329933,-1,1.8888888888888888,0,0.0,0,2.0,1.94444444444,1,0,0,0,?
527,Lucas,Tolentino Coelho de Lima,MID,WHU,?,"L.Paquetá (MID, ?)",49,16,0,4.0,2.8,3.3466401061363023,2.0,1.0,3.0625,2.09375,2.7264617638984046,2.0,1.0,3.0625,2.09375,2.7264617638984046,-1,1.8888888888888888,0,0.0,0,2.0,1.94444444444,1,0,0,0,?
520,Emerson,Palmieri dos Santos,DEF,WHU,?,"Emerson (DEF, ?)",35,15,1,3.2,3.04,3.370459909270544,1.0,1.0,2.1875,2.15625,2.650913757556062,1.0,1.0,2.3333333333333335,2.2222222222222223,2.674987019698517,-1,0.8888888888888888,1,1.1111111111111112,0,0.0,1.0,1,0,0,0,?
521,Łukasz,Fabiański,GKP,WHU,?,"Fabianski (GKP, ?)",28,9,7,2.6,1.92,2.33238075793812,0.5,1.0,1.75,1.96875,2.5860201081971503,2.0,1.0,3.111111111111111,2.148148148148148,2.7666443551086073,-1,0.3888888888888889,1,0.6111111111111112,0,0.0,0.5,1,0,0,0,?
525,Mohammed,Kudus,MID,WHU,?,"Kudus (MID, ?)",35,11,5,2.4,2.0799999999999996,2.576819745345025,2.0,1.5,2.1875,1.6328125,2.1857135562557137,2.0,1.0,3.1818181818181817,1.5371900826446279,1.945539505366609,-1,1.8333333333333333,0,0.0,0,2.0,1.91666666667,1,0,0,0,?
654,Carlos,Soler,MID,WHU,?,"C.Soler (MID, ?)",17,13,3,2.4,1.28,1.624807680927192,1.0,1.0,1.0625,0.96875,1.3448396744593758,1.0,1.0,1.3076923076923077,1.0414201183431953,1.3803352649943357,-1,0.8888888888888888,0,0.0,0,1.0,0.94444444444,1,0,0,0,?
524,Max,Kilman,DEF,WHU,?,"Kilman (DEF, ?)",38,16,0,2.2,1.52,2.039607805437114,1.5,0.5,2.375,2.109375,3.059309562630104,1.5,0.5,2.375,2.109375,3.059309562630104,-1,1.4444444444444444,1,1.5555555555555556,0,0.0,1.5,1,0,0,0,?
587,Crysencio,Summerville,MID,WHU,?,"Summerville (MID, ?)",28,15,1,2.0,1.2,1.4142135623730951,1.0,0.0,1.75,1.28125,1.713913650100261,1.0,0.0,1.8666666666666667,1.2888888888888888,1.7074997966487595,-1,1.0,0,0.0,0,1.0,1.0,1,0,0,0,?
589,Niclas,Füllkrug,FWD,WHU,?,"Füllkrug (FWD, ?)",10,5,11,1.4,1.8399999999999999,2.33238075793812,0.0,0.0,0.625,0.859375,1.4523687548277813,1.0,0.0,2.0,1.6,2.0,-1,0.0,0,0.0,0,0.0,0.0,1,0,0,0,?
528,Konstantinos,Mavropanos,DEF,WHU,?,"Mavropanos (DEF, ?)",22,13,3,1.2,0.64,0.7483314773547883,1.0,0.5,1.375,1.0625,1.8328597873268975,1.0,0.0,1.6923076923076923,1.1124260355029585,1.8967427701443003,-1,0.9444444444444444,1,1.0555555555555556,0,0.0,1.0,1,0,0,0,?
511,Edson,Álvarez Velázquez,MID,WHU,?,"Álvarez (MID, ?)",12,12,4,1.2,0.64,0.7483314773547883,1.0,1.0,0.75,0.8125,1.0307764064044151,1.0,0.5,1.0,0.6666666666666666,1.0801234497346435,-1,0.8888888888888888,0,0.0,0,1.0,0.94444444444,1,0,0,0,?
512,Michail,Antonio,FWD,WHU,?,"Antonio (FWD, ?)",42,14,2,1.0,0.8,0.8944271909999159,2.0,0.5,2.625,2.21875,4.136348026943574,2.0,0.0,3.0,2.4285714285714284,4.292851200376205,-1,1.9444444444444444,0,0.0,0,2.0,1.97222222222,1,0,0,0,?
