id,1st_name,2nd_name,position,team,prvGWsPtsTrend,web_name,tot_pts,fixtures_played,fixtures_not_played,std_form,form,MeanAbsDev(form),med_form,MedAbsDev(form),std_pts/fixture,avg_pts/fixture,MeanAbsDev(pts/fixture),med_pts/fixture,MedAbsDev(pts/fixture),std_pts/fixture_played,avg_pts/fixture_played,MeanAbsDev(pts/fixture_played),med_pts/fixture_played,MedAbsDev(pts/fixture_played),xPts,fplAdv_nxtGWs,^fplAdv*xPts,defAdv_nxtGWs,^defAdv*xPts,attAdv_nxtGWs,^attAdv*xPts,xPts(avgAdv),#OfMatches_nxtGWs,gw9Pts,gw10Pts,gw11Pts,gw12Pts,gw13Pts,tot_aPts,tot_aPts-xPts(avgAdv),nxtGWsPtsTrend
346,Jérémy,Doku,MID,MCI,~,"Doku (MID, ~)",21,7,1,2.160246899469287,4.0,2.0,5.0,1.0,1.8666480653835096,2.625,1.53125,2.0,1.0,1.6903085094570331,3.0,1.4285714285714286,2.0,1.0,3.47479673453,10,8.70312858889,0,0.0,16,8.80039394473,8.75176126681,5,0,1,0,0,1,2,-6.75176126681,4↓
342,Bernardo,Veiga de Carvalho e Silva,MID,MCI,3↓,"Bernardo (MID, 3↓)",27,8,0,1.8856180831641267,3.333333333333333,1.777777777777778,2.0,0.0,2.341874249399399,3.375,2.21875,2.0,1.0,2.341874249399399,3.375,2.21875,2.0,1.0,3.3492485838,10,8.70312858889,0,0.0,16,8.80039394473,8.75176126681,5,3,2,1,1,2,9,0.24823873319,~
362,John,Stones,DEF,MCI,4↑,"Stones (DEF, 4↑)",19,5,3,4.027681991198191,3.333333333333333,3.777777777777777,1.0,1.0,3.314268395890713,2.375,2.8125,1.0,1.0,3.487119154832538,3.8,3.3600000000000003,1.0,0.0,2.96728257255,10,4.432618757639999,6,4.36777518708,0,0.0,4.40019697236,5,1,0,0,0,0,1,-3.40019697236,3↓
349,Jack,Grealish,MID,MCI,4↓,"Grealish (MID, 4↓)",15,7,1,2.6246692913372702,3.333333333333333,2.4444444444444446,2.0,1.0,2.0879116360612584,1.875,1.375,1.5,0.5,2.099562636671296,2.142857142857143,1.3877551020408163,2.0,1.0,2.77629956693,10,6.48681921007,0,0.0,16,6.53545188798,6.51113554902,5,0,0,0,1,1,2,-4.51113554902,4↓
355,Rico,Lewis,DEF,MCI,~,"Lewis (DEF, ~)",23,7,1,0.9428090415820634,2.6666666666666665,0.8888888888888888,2.0,0.0,2.0879116360612584,2.875,1.84375,2.0,1.5,1.905952009160905,3.2857142857142856,1.7551020408163265,2.0,1.0,2.74624291901,10,8.78418305208,6,8.686917696250001,0,0.0,8.73555037417,5,6,1,0,0,1,8,-0.7355503741699998,~
348,Phil,Foden,MID,MCI,2↑,"Foden (MID, 2↑)",9,5,3,1.247219128924647,2.333333333333333,1.1111111111111112,2.0,1.0,1.2686114456365274,1.125,0.9375,1.0,1.0,1.1661903789690602,1.8,0.9600000000000002,1.0,0.0,1.87179106974,10,4.432618757639999,0,0.0,16,4.52988411348,4.48125143556,5,3,2,2,2,1,10,5.51874856444,4↑
351,Erling,Haaland,FWD,MCI,4↓,"Haaland (FWD, 4↓)",69,8,0,0.0,2.0,0.0,2.0,0.0,6.0608889612003285,8.625,5.375,8.0,6.0,6.0608889612003285,8.625,5.375,8.0,6.0,4.53052482453,10,35.13673220832,0,0.0,16,35.720324343310004,35.42852827581,5,6,2,5,2,2,17,-18.428528275810002,7↓
625,Ilkay,Gündogan,MID,MCI,~,"Gündogan (MID, ~)",12,7,1,0.0,2.0,0.0,2.0,0.0,0.7071067811865476,1.5,0.625,2.0,0.0,0.4517539514526256,1.7142857142857142,0.4081632653061224,2.0,0.0,1.80901699437,10,8.5410196625,0,0.0,16,8.5410196625,8.5410196625,5,1,5,3,2,1,12,3.4589803375,3↑
347,Ederson,Santana de Moraes,GKP,MCI,~,"Ederson M. (GKP, ~)",23,8,0,0.9428090415820634,1.3333333333333333,0.888888888888889,2.0,0.0,2.803457686500725,2.875,2.3125,2.0,1.0,2.803457686500725,2.875,2.3125,2.0,1.0,1.92219760068,10,8.70312858889,6,8.63828501833,0,0.0,8.67070680361,5,6,2,1,1,0,10,1.3292931963899992,1↑
340,Manuel,Akanji,DEF,MCI,2↓,"Akanji (DEF, 2↓)",16,7,1,0.9428090415820634,1.3333333333333333,0.888888888888889,2.0,0.0,1.6583123951777,2.0,1.0,2.0,0.5,1.577908716741037,2.2857142857142856,1.0612244897959182,2.0,0.0,1.58797734083,10,8.6220741257,6,8.589652340419999,0,0.0,8.60586323306,5,6,1,0,-1,0,6,-2.605863233059999,2↓
