id,1st_name,2nd_name,position,team,prvGWsPtsTrend,web_name,tot_pts,fxtrs_plyd,fxtrs_not_plyd,med_form,MedAbsDev(form),avg_form,MeanAbsDev(form),StdDev(form),med_pts/fxtr,MedAbsDev(pts/fxtr),avg_pts/fxtr,MeanAbsDev(pts/fxtr),StdDev(pts/fxtr),med_pts/fxtr_plyd,MedAbsDev(pts/fxtr_plyd),avg_pts/fxtr_plyd,MeanAbsDev(pts/fxtr_plyd),StdDev(pts/fxtr_plyd),fplAdv_nxtGWs,xPts(fplAdv),defAdv_nxtGWs,xPts(defAdv),attAdv_nxtGWs,xPts(attAdv),xPts(avgAdv),#OfMatches_nxtGWs,gw11Pts,tot_aPts,tot_aPts-xPts(avgAdv),nxtGWsPtsTrend
50,Kosta,Nedeljković,DEF,AVL,~,"Nedeljkovic (DEF, ~)",3,3,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.41999999999999993,0.45825756949558394,1.0,0.0,1.0,0.0,0.0,-4,0.0,-6,0.0,0,0.0,0.0,1,0,0,0,?
598,Lamare,Bogarde,DEF,AVL,~,"Bogarde (DEF, ~)",2,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.32,0.4000000000000001,1.0,0.0,1.0,0.0,0.0,-4,0.0,-6,0.0,0,0.0,0.0,1,0,0,0,?
30,Enzo,Barrenechea,MID,AVL,~,"Barrenechea (MID, ~)",0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4,0.0,0,0.0,-3,0.0,0.0,1,0,0,0,?
33,Leander,Dendoncker,MID,AVL,~,"Dendoncker (MID, ~)",0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4,0.0,0,0.0,-3,0.0,0.0,1,0,0,0,?
34,Moussa,Diaby,MID,AVL,~,"Diaby (MID, ~)",0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4,0.0,0,0.0,-3,0.0,0.0,1,0,0,0,?
37,Lewis,Dobbin,MID,AVL,~,"Dobbin (MID, ~)",0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4,0.0,0,0.0,-3,0.0,0.0,1,0,0,0,?
39,Joe,Gauci,GKP,AVL,~,"Gauci (GKP, ~)",0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4,0.0,-6,0.0,0,0.0,0.0,1,0,0,0,?
40,Kortney,Hause,DEF,AVL,~,"Hause (DEF, ~)",0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4,0.0,-6,0.0,0,0.0,0.0,1,0,0,0,?
41,Samuel,Iling-Junior,MID,AVL,~,"Iling Jr (MID, ~)",0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4,0.0,0,0.0,-3,0.0,0.0,1,0,0,0,?
43,Kaine,Kesler-Hayden,DEF,AVL,~,"Kesler-Hayden (DEF, ~)",0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4,0.0,-6,0.0,0,0.0,0.0,1,0,0,0,?
46,Filip,Marschall,GKP,AVL,~,"Marschall (GKP, ~)",0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4,0.0,-6,0.0,0,0.0,0.0,1,0,0,0,?
49,Tyrone,Mings,DEF,AVL,~,"Mings (DEF, ~)",0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4,0.0,-6,0.0,0,0.0,0.0,1,0,0,0,?
51,Robin,Olsen,GKP,AVL,~,"Olsen (GKP, ~)",0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4,0.0,-6,0.0,0,0.0,0.0,1,0,0,0,?
55,Viljami,Sinisalo,GKP,AVL,~,"Sinisalo (GKP, ~)",0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4,0.0,-6,0.0,0,0.0,0.0,1,0,0,0,?
56,Lino,da Cruz Sousa,DEF,AVL,~,"Sousa (DEF, ~)",0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4,0.0,-6,0.0,0,0.0,0.0,1,0,0,0,?
640,Sil,Swinkels,DEF,AVL,~,"Swinkels (DEF, ~)",0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4,0.0,-6,0.0,0,0.0,0.0,1,0,0,0,?
641,Oliwier,Zych,GKP,AVL,~,"Zych (GKP, ~)",0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4,0.0,-6,0.0,0,0.0,0.0,1,0,0,0,?
656,Kadan,Young,MID,AVL,~,"Young (MID, ~)",0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4,0.0,0,0.0,-3,0.0,0.0,1,0,0,0,?
148,Danny,Welbeck,FWD,BHA,~,"Welbeck (FWD, ~)",62,10,0,7.0,2.0,7.0,1.3333333333333333,1.632993161855452,6.5,2.5,6.2,2.8,3.280243893371345,6.5,2.5,6.2,2.8,3.280243893371345,-1,5.51113554902564,0,0.0,-1,5.51113554902564,5.51113554903,1,0,0,0,?
628,Ferdi,Kadioglu,DEF,BHA,4↑,"F.Kadıoğlu (DEF, 4↑)",19,6,4,6.0,0.0,6.0,0.0,0.0,0.0,0.0,1.9,2.46,2.6999999999999997,3.5,2.5,3.1666666666666665,2.8333333333333335,2.852873794770615,-1,0.0,0,0.0,0,0.0,0.0,1,0,0,0,?
618,Georginio,Rutter,MID,BHA,~,"Georginio (MID, ~)",38,9,1,5.0,1.0,4.333333333333333,1.5555555555555556,1.699673171197595,2.5,2.0,3.8,2.7600000000000002,3.249615361854384,3.0,2.0,4.222222222222222,2.691358024691358,3.154459903684087,-1,2.1028331303463634,0,0.0,-1,2.1028331303463634,2.10283313035,1,0,0,0,?
115,Carlos,Baleba,MID,BHA,2↓,"Baleba (MID, 2↓)",27,8,2,3.0,0.0,2.0,1.3333333333333333,1.4142135623730951,2.0,1.0,2.7,2.04,3.28785644455472,2.5,0.5,3.375,2.15625,3.3517719194479807,-1,1.6919930398604452,0,0.0,-1,1.6919930398604452,1.69199303986,1,0,0,0,?
146,Bart,Verbruggen,GKP,BHA,2↑,"Verbruggen (GKP, 2↑)",25,8,2,3.0,1.0,5.0,3.3333333333333335,3.559026084010437,1.5,1.5,2.5,2.4,3.0413812651491097,2.5,2.0,3.125,2.40625,3.0998991919093113,-1,1.256836610416141,0,1.2811529493745268,0,0.0,1.2689947799,1,0,0,0,?
136,Mitoma,Kaoru,MID,BHA,~,"Mitoma (MID, ~)",36,10,0,2.0,0.0,1.6666666666666667,0.4444444444444444,0.4714045207910317,2.5,1.0,3.6,1.9200000000000004,2.154065922853802,2.5,1.0,3.6,1.9200000000000004,2.154065922853802,-1,2.1190440229852876,0,0.0,-1,2.1190440229852876,2.11904402299,1,0,0,0,?
126,Jack,Hinshelwood,MID,BHA,~,"Hinshelwood (MID, ~)",27,9,1,2.0,0.0,1.3333333333333333,0.888888888888889,0.9428090415820634,2.0,0.0,2.7,1.52,2.5317977802344327,2.0,0.0,3.0,1.5555555555555556,2.494438257849294,-1,1.7082039324993692,0,0.0,-1,1.7082039324993692,1.7082039325,1,0,0,0,?
600,Yasin,Ayari,MID,BHA,1↑,"Ayari (MID, 1↑)",14,8,2,2.0,0.0,2.0,0.0,0.0,1.5,0.5,1.4,0.8,0.9165151389911681,2.0,0.5,1.75,0.5625,0.6614378277661477,-1,1.2730475030550648,0,0.0,-1,1.2730475030550648,1.27304750306,1,0,0,0,?
145,Joël,Veltman,DEF,BHA,~,"Veltman (DEF, ~)",30,9,1,1.0,0.0,3.0,2.6666666666666665,2.8284271247461903,1.5,0.5,3.0,2.6,2.898275349237888,2.0,1.0,3.3333333333333335,2.6666666666666665,2.8674417556808756,-1,1.2730475030550648,0,1.2811529493745268,0,0.0,1.27710022621,1,0,0,0,?
144,Jan Paul,van Hecke,DEF,BHA,~,"Van Hecke (DEF, ~)",22,8,2,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.2,1.8800000000000001,2.181742422927143,1.5,0.5,2.75,1.9375,2.1065374432940898,-1,0.8378910736107607,0,0.8541019662496846,0,0.0,0.84599651993,1,0,0,0,?
123,Evan,Ferguson,FWD,BHA,~,"Ferguson (FWD, ~)",12,6,4,1.0,0.0,3.0,2.6666666666666665,2.8284271247461903,1.0,0.5,1.2,1.1599999999999997,1.9899748742132397,1.0,0.0,2.0,1.6666666666666667,2.23606797749979,-1,0.8459965199302226,0,0.0,-1,0.8459965199302226,0.84599651993,1,0,0,0,?
149,Mats,Wieffer,MID,BHA,~,"Wieffer (MID, ~)",12,7,3,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.2,0.96,1.6613247725836149,1.0,0.0,1.7142857142857142,1.2244897959183674,1.7496355305594131,-1,0.8541019662496846,0,0.0,-1,0.8541019662496846,0.85410196625,1,0,0,0,?
121,Julio,Enciso,MID,BHA,~,"Enciso (MID, ~)",7,7,3,1.0,0.0,0.6666666666666666,0.4444444444444445,0.4714045207910317,1.0,0.0,0.7,0.42000000000000004,0.45825756949558405,1.0,0.0,1.0,0.0,0.0,-1,0.8541019662496846,0,0.0,-1,0.8541019662496846,0.85410196625,1,0,0,0,?
122,Pervis,Estupiñán,DEF,BHA,1↑,"Estupiñan (DEF, 1↑)",4,7,3,1.0,0.0,0.6666666666666666,0.4444444444444445,0.4714045207910317,0.5,0.5,0.4,0.6000000000000001,0.66332495807108,1.0,0.0,0.5714285714285714,0.6122448979591838,0.7284313590846835,-1,0.4189455368053803,0,0.4270509831248423,0,0.0,0.42299825997,1,0,0,0,?
128,Igor Julio,dos Santos de Paulo,DEF,BHA,~,"Igor (DEF, ~)",8,5,5,1.0,1.0,2.3333333333333335,2.4444444444444446,2.6246692913372702,0.0,0.0,0.8,1.12,1.7776388834631178,1.0,1.0,1.6,1.7600000000000002,2.244994432064365,-1,0.0,0,0.0,0,0.0,0.0,1,0,0,0,?
595,Brajan,Gruda,MID,BHA,~,"Gruda (MID, ~)",3,3,7,1.0,0.0,0.6666666666666666,0.4444444444444445,0.4714045207910317,0.0,0.0,0.3,0.41999999999999993,0.45825756949558394,1.0,0.0,1.0,0.0,0.0,-1,0.0,0,0.0,-1,0.0,0.0,1,0,0,0,?
120,Lewis,Dunk,DEF,BHA,2↓,"Dunk (DEF, 2↓)",22,8,2,0.0,0.0,2.0,2.6666666666666665,2.8284271247461903,1.5,1.5,2.2,2.28,2.638181191654584,2.0,2.5,2.75,2.4375,2.680951323690902,-1,1.256836610416141,0,1.2811529493745268,0,0.0,1.2689947799,1,0,0,0,?
135,Yankuba,Minteh,MID,BHA,2↓,"Minteh (MID, 2↓)",21,7,3,0.0,0.0,0.0,0.0,0.0,1.5,1.5,2.1,1.7399999999999998,2.1656407827707715,2.0,1.0,3.0,1.7142857142857142,2.0,-1,1.256836610416141,0,0.0,-1,1.256836610416141,1.25683661042,1,0,0,0,?
113,Simon,Adingra,MID,BHA,~,"Adingra (MID, ~)",15,6,4,0.0,0.0,0.3333333333333333,0.4444444444444445,0.4714045207910317,1.0,1.0,1.5,1.5,1.91049731745428,1.5,0.5,2.5,1.6666666666666667,1.8929694486000912,-1,0.8378910736107607,0,0.0,-1,0.8378910736107607,0.83789107361,1,0,0,0,?
