id,1st_name,2nd_name,position,team,prvGWsPtsTrend,web_name,tot_pts,fxtrs_plyd,fxtrs_not_plyd,med_form,MedAbsDev(form),form,MeanAbsDev(form),StdDev(form),med_pts/fxtr,MedAbsDev(pts/fxtr),avg_pts/fxtr,MeanAbsDev(pts/fxtr),StdDev(pts/fxtr),med_pts/fxtr_plyd,MedAbsDev(pts/fxtr_plyd),avg_pts/fxtr_plyd,MeanAbsDev(pts/fxtr_plyd),StdDev(pts/fxtr_plyd),fplAdv_nxtGWs,xPts(fplAdv),defAdv_nxtGWs,xPts(defAdv),attAdv_nxtGWs,xPts(attAdv),xPts(avgAdv),#OfMatches_nxtGWs,gw16Pts,tot_aPts,tot_aPts-xPts(avgAdv),nxtGWsPtsTrend
35,Diego Carlos,Santos Silva,DEF,AVL,5↑,"Diego Carlos (DEF, 5↑)",19,8,7,0.0,0.0,1.75,2.625,3.031088913245535,0.0,0.0,1.2666666666666666,1.5911111111111107,2.174600857373345,1.5,1.0,2.375,2.0625,2.496873044429772,0,0.0,5,0.0,0,0.0,0.0,1,1,1,1.0,~
49,Tyrone,Mings,DEF,AVL,~,"Mings (DEF, ~)",2,1,14,0.0,0.0,0.5,0.75,0.8660254037844386,0.0,0.0,0.1333333333333333,0.2488888888888888,0.4988876515698589,2.0,0.0,2.0,0.0,0.0,0,0.0,5,0.0,0,0.0,0.0,1,0,0,0.0,~
51,Robin,Olsen,GKP,AVL,~,"Olsen (GKP, ~)",1,1,14,0.0,0.0,0.25,0.375,0.4330127018922193,0.0,0.0,0.0666666666666666,0.1244444444444444,0.2494438257849294,1.0,0.0,1.0,0.0,0.0,0,0.0,5,0.0,0,0.0,0.0,1,0,0,0.0,~
233,Amadou,Onana,MID,AVL,2↓,"Onana (MID, 2↓)",31,10,5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.066666666666667,1.982222222222222,3.0433899228035544,2.0,0.5,3.1,2.56,3.269556544854363,0,1.0,0,0.0,1,1.1111111111111112,1.05555555556,1,1,1,-0.055555555560000025,~
53,Jacob,Ramsey,MID,AVL,2↓,"Ramsey (MID, 2↓)",22,10,5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.4666666666666666,1.1644444444444444,1.4544949486180951,2.0,0.5,2.2,0.92,1.2489995996796797,0,1.0,0,0.0,1,1.1111111111111112,1.05555555556,1,0,0,-1.05555555556,1↓
50,Kosta,Nedeljković,DEF,AVL,~,"Nedeljkovic (DEF, ~)",3,3,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3200000000000001,0.4000000000000001,1.0,0.0,1.0,0.0,0.0,0,0.0,5,0.0,0,0.0,0.0,1,0,0,0.0,~
598,Lamare,Bogarde,DEF,AVL,~,"Bogarde (DEF, ~)",2,3,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1333333333333333,0.2311111111111111,0.3399346342395189,1.0,0.0,0.6666666666666666,0.4444444444444445,0.4714045207910317,0,0.0,5,0.0,0,0.0,0.0,1,0,0,0.0,~
30,Enzo,Barrenechea,MID,AVL,~,"Barrenechea (MID, ~)",0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1,0.0,0.0,1,0,0,0.0,~
33,Leander,Dendoncker,MID,AVL,~,"Dendoncker (MID, ~)",0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1,0.0,0.0,1,0,0,0.0,~
34,Moussa,Diaby,MID,AVL,~,"Diaby (MID, ~)",0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1,0.0,0.0,1,0,0,0.0,~
37,Lewis,Dobbin,MID,AVL,~,"Dobbin (MID, ~)",0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1,0.0,0.0,1,0,0,0.0,~
39,Joe,Gauci,GKP,AVL,~,"Gauci (GKP, ~)",0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5,0.0,0,0.0,0.0,1,0,0,0.0,~
40,Kortney,Hause,DEF,AVL,~,"Hause (DEF, ~)",0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5,0.0,0,0.0,0.0,1,0,0,0.0,~
41,Samuel,Iling-Junior,MID,AVL,~,"Iling Jr (MID, ~)",0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1,0.0,0.0,1,0,0,0.0,~
43,Kaine,Kesler-Hayden,DEF,AVL,~,"Kesler-Hayden (DEF, ~)",0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5,0.0,0,0.0,0.0,1,0,0,0.0,~
46,Filip,Marschall,GKP,AVL,~,"Marschall (GKP, ~)",0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5,0.0,0,0.0,0.0,1,0,0,0.0,~
55,Viljami,Sinisalo,GKP,AVL,~,"Sinisalo (GKP, ~)",0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5,0.0,0,0.0,0.0,1,0,0,0.0,~
56,Lino,da Cruz Sousa,DEF,AVL,~,"Sousa (DEF, ~)",0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5,0.0,0,0.0,0.0,1,0,0,0.0,~
640,Sil,Swinkels,DEF,AVL,~,"Swinkels (DEF, ~)",0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5,0.0,0,0.0,0.0,1,0,0,0.0,~
641,Oliwier,Zych,GKP,AVL,~,"Zych (GKP, ~)",0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5,0.0,0,0.0,0.0,1,0,0,0.0,~
656,Kadan,Young,MID,AVL,~,"Young (MID, ~)",0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1,0.0,0.0,1,0,0,0.0,~
679,Ben,Broggio,MID,AVL,~,"Broggio (MID, ~)",0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1,0.0,0.0,1,0,0,0.0,~
136,Mitoma,Kaoru,MID,BHA,1↓,"Mitoma (MID, 1↓)",61,15,0,5.5,3.5,5.75,3.75,3.766629793329841,2.0,1.0,4.066666666666666,2.479999999999999,2.8394052585395806,2.0,1.0,4.066666666666666,2.479999999999999,2.8394052585395806,3,2.333333333333333,0,0.0,5,2.555555555555556,2.44444444444,1,2,2,-0.4444444444400002,~
129,João Pedro,Junqueira de Jesus,FWD,BHA,~,"João Pedro (FWD, ~)",51,9,6,3.5,1.5,5.25,3.375,4.085033659592048,2.0,2.0,3.4,3.6,4.144072071445348,5.0,3.0,5.666666666666667,3.629629629629629,3.972125095937662,3,2.6666666666666665,0,0.0,5,3.111111111111111,2.88888888889,1,2,2,-0.88888888889,~
122,Pervis,Estupiñán,DEF,BHA,3↑,"Estupiñan (DEF, 3↑)",18,12,3,3.0,1.5,3.0,1.5,1.5811388300841898,1.0,1.0,1.2,1.0933333333333333,1.514375558880073,1.0,0.5,1.5,1.1666666666666667,1.5545631755148024,3,1.3333333333333333,6,1.6666666666666663,0,0.0,1.5,1,1,1,-0.5,~
131,Tariq,Lamptey,DEF,BHA,5↑,"Lamptey (DEF, 5↑)",16,4,11,2.5,2.5,3.25,3.25,3.418698582794336,0.0,0.0,1.0666666666666669,1.7066666666666666,2.3228335186912457,4.0,2.5,4.0,2.5,2.9154759474226504,3,0.0,6,0.0,0,0.0,0.0,1,0,0,0.0,~
600,Yasin,Ayari,MID,BHA,1↑,"Ayari (MID, 1↑)",22,12,3,2.5,0.5,2.0,1.0,1.224744871391589,2.0,1.0,1.4666666666666666,0.9688888888888888,1.0873004286866723,2.0,1.0,1.8333333333333333,0.7222222222222223,0.8975274678557507,3,2.333333333333333,0,0.0,5,2.555555555555556,2.44444444444,1,2,2,-0.4444444444400002,~
618,Georginio,Rutter,MID,BHA,~,"Georginio (MID, ~)",50,14,1,2.0,0.5,2.5,1.25,1.5,2.0,1.0,3.333333333333333,2.311111111111111,2.844097201026872,2.0,1.0,3.571428571428572,2.3061224489795924,2.7957693986829897,3,2.333333333333333,0,0.0,5,2.555555555555556,2.44444444444,1,2,2,-0.4444444444400002,~
146,Bart,Verbruggen,GKP,BHA,1↓,"Verbruggen (GKP, 1↓)",35,13,2,1.5,0.5,1.75,0.75,0.82915619758885,2.0,1.0,2.333333333333333,1.8666666666666665,2.5473297566057065,2.0,1.0,2.6923076923076925,1.822485207100592,2.553568103491974,3,2.333333333333333,6,2.6666666666666665,0,0.0,2.5,1,1,1,-1.5,1↓
149,Mats,Wieffer,MID,BHA,2↑,"Wieffer (MID, 2↑)",18,11,4,1.5,1.0,1.5,1.0,1.118033988749895,1.0,1.0,1.2,0.9866666666666666,1.514375558880073,1.0,0.0,1.6363636363636365,1.1074380165289257,1.5534552264213692,3,1.3333333333333333,0,0.0,5,1.5555555555555556,1.44444444444,1,1,1,-0.44444444444,~
128,Igor Julio,dos Santos de Paulo,DEF,BHA,~,"Igor (DEF, ~)",15,10,5,1.5,0.5,1.5,0.5,0.5,1.0,1.0,1.0,0.9333333333333332,1.505545305418162,1.0,0.5,1.5,1.1,1.6278820596099706,3,1.3333333333333333,6,1.6666666666666663,0,0.0,1.5,1,0,0,-1.5,1↓
148,Danny,Welbeck,FWD,BHA,3↓,"Welbeck (FWD, 3↓)",69,14,1,1.5,0.5,1.25,0.75,0.82915619758885,2.0,2.0,4.6,3.173333333333334,3.536476589299958,3.5,2.0,4.928571428571429,3.071428571428572,3.432289650495419,3,2.6666666666666665,0,0.0,5,3.111111111111111,2.88888888889,1,0,0,-2.88888888889,3↓
135,Yankuba,Minteh,MID,BHA,4↑,"Minteh (MID, 4↑)",29,10,5,1.0,0.5,2.0,2.0,2.345207879911715,1.0,1.0,1.9333333333333331,1.7866666666666666,2.2050447211388304,2.0,1.0,2.9,1.88,2.118962010041709,3,1.3333333333333333,0,0.0,5,1.5555555555555556,1.44444444444,1,2,2,0.55555555556,~
144,Jan Paul,van Hecke,DEF,BHA,~,"Van Hecke (DEF, ~)",28,13,2,1.0,0.0,1.25,0.375,0.4330127018922193,1.0,0.0,1.8666666666666667,1.4222222222222225,1.857118436957882,1.0,0.0,2.1538461538461537,1.4674556213017749,1.8332885058173825,3,1.0,6,1.0,0,0.0,1.0,1,1,1,0.0,~
123,Evan,Ferguson,FWD,BHA,~,"Ferguson (FWD, ~)",17,10,5,1.0,0.0,1.25,0.375,0.4330127018922193,1.0,0.0,1.1333333333333333,0.8977777777777777,1.6679994670929077,1.0,0.0,1.7,1.12,1.7916472867168918,3,1.0,0,0.0,5,1.0,1.0,1,1,1,0.0,~
